,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude
3514,Saturday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3515,Friday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3516,Wednesday,Other Miscellaneous,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3517,Tuesday,Non-Criminal,25TH ST \ GUERRERO ST,37.750372239652755,-122.42272561201122
3518,Thursday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3519,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3520,Sunday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3521,Sunday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3522,Friday,Assault,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3523,Friday,Fraud,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.7455788126339,-122.42221829226034
3524,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3525,Friday,Missing Person,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3526,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3527,Wednesday,Fraud,GUERRERO ST \ CESAR CHAVEZ ST,37.74801344882507,-122.42248736491136
3528,Wednesday,Other Miscellaneous,23RD ST \ GUERRERO ST,37.75356917984707,-122.42302846551908
3529,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3530,Sunday,Warrant,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3531,Thursday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3532,Friday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3533,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3534,Friday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3535,Friday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3536,Sunday,Other Miscellaneous,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3537,Sunday,Offences Against The Family And Children,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3538,Tuesday,Recovered Vehicle,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3539,Friday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3540,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3541,Tuesday,Other,25TH ST \ GUERRERO ST,37.750372239652755,-122.42272561201122
3542,Monday,Burglary,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3543,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3544,Thursday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3545,Sunday,Larceny Theft,GUERRERO ST \ CESAR CHAVEZ ST,37.74801344882507,-122.42248736491136
3546,Friday,Missing Person,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3547,Friday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3548,Monday,Other Miscellaneous,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3549,Tuesday,Warrant,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3550,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3551,Tuesday,Burglary,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3552,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3553,Sunday,Missing Person,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3554,Sunday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.768629313657044,-122.42442416173678
3555,Wednesday,Motor Vehicle Theft,HILL ST \ GUERRERO ST,37.755970966730814,-122.42321453596978
3556,Wednesday,Fraud,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.770747744629546,-122.42485259980008
3557,Tuesday,Non-Criminal,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3558,Saturday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3559,Monday,Missing Person,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3560,Friday,Motor Vehicle Theft,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3561,Saturday,Suspicious Occ,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3562,Wednesday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3563,Wednesday,Drug Offense,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3564,Thursday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3565,Sunday,Burglary,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3566,Monday,Malicious Mischief,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3567,Friday,Warrant,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3568,Saturday,Assault,23RD ST \ GUERRERO ST,37.75356917984707,-122.42302846551908
3569,Wednesday,Malicious Mischief,GUERRERO ST \ DORLAND ST,37.76234101171303,-122.4239265643018
3570,Monday,Larceny Theft,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3571,Wednesday,Miscellaneous Investigation,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3572,Friday,Burglary,24TH ST \ GUERRERO ST,37.75197162434785,-122.4228788338116
