,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude,probability,rate,overnight,openSpaces,numberOfCameras
1792,Sunday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,66,0,1,6,9
1793,Sunday,Malicious Mischief,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,32,0,1,1,-1
1794,Sunday,Burglary,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,36,0,1,5,-1
1795,Wednesday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,45,0,1,4,15
1796,Wednesday,Malicious Mischief,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,58,0,1,4,-1
1797,Wednesday,Disorderly Conduct,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,33,0,1,4,11
1798,Wednesday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,60,0,1,3,-1
1799,Friday,Robbery,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,65,0,1,5,12
1800,Wednesday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,33,0,1,3,11
1801,Wednesday,Burglary,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,41,0,1,2,9
1802,Sunday,Larceny Theft,GUERRERO ST \ CLINTON PARK,37.76913366,-122.4245708,68,0,1,3,12
1803,Wednesday,Larceny Theft,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,45,0,1,2,15
1804,Thursday,Burglary,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,66,0,1,6,-1
1805,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,32,0,1,1,-1
1806,Sunday,Prostitution,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,36,0,1,5,-1
1807,Sunday,Motor Vehicle Theft,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,81,0,1,11,-1
1808,Sunday,Sex Offense,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,83,0,1,11,-1
1809,Thursday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,76,0,1,6,-1
1810,Sunday,,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,89,0,1,12,-1
1811,Sunday,Other Miscellaneous,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,86,0,1,8,-1
1812,Monday,Missing Person,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,38,0,1,1,-1
1813,Thursday,Motor Vehicle Theft,LIBERTY ST \ GUERRERO ST,37.75756491,-122.4234525,92,0,1,7,-1
1814,Sunday,Larceny Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,93,0,1,16,12
1815,Thursday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,94,0,1,9,-1
1816,Monday,Missing Person,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,,inf,0,0,-1
1817,Sunday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,85,0,1,16,-1
1818,Thursday,Non-Criminal,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,,inf,0,0,9
1819,Thursday,Motor Vehicle Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,50,0,1,1,-1
1820,Thursday,Other Miscellaneous,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,89,0,1,12,-1
1821,Wednesday,Recovered Vehicle,LIBERTY ST \ GUERRERO ST,37.75756491,-122.4234525,83,0,1,5,-1
1822,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,40,0,1,1,12
1823,Thursday,Motor Vehicle Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,71,0,1,6,-1
1824,Sunday,Vandalism,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,89,0,1,21,-1
1825,Friday,Burglary,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,40,0,1,2,-1
1826,Sunday,Malicious Mischief,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,39,0,1,3,-1
1827,Tuesday,Other Miscellaneous,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,81,0,1,4,-1
1828,Wednesday,Lost Property,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,22,0,1,2,-1
1829,Monday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,76,0,1,6,-1
1830,Thursday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,32,0,1,1,-1
1831,Friday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,42,0,1,3,-1
1832,Saturday,Recovered Vehicle,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,26,0,1,1,12
1833,Thursday,Burglary,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,76,0,1,6,-1
1834,Thursday,Malicious Mischief,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,41,0,1,2,12
1835,Sunday,Malicious Mischief,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,68,0,1,3,-1
1836,Friday,Miscellaneous Investigation,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,33,0,1,4,-1
1837,Tuesday,Non-Criminal,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,60,0,1,3,-1
1838,Tuesday,Non-Criminal,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,58,0,1,4,-1
1839,Thursday,Fraud,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,71,0,1,3,-1
1840,Friday,Larceny Theft,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,32,0,1,1,-1
1841,Sunday,Larceny Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,54,0,1,1,-1
1842,Monday,Motor Vehicle Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,43,0,1,1,-1
1843,Wednesday,Burglary,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,,inf,0,0,12
1844,Wednesday,Burglary,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,33,0,1,3,-1
1845,Tuesday,Assault,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,47,0,1,2,-1
1846,Tuesday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,42,0,1,3,-1
1847,Wednesday,Burglary,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,73,0,1,8,-1
1848,Thursday,Missing Person,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,60,0,1,3,-1
1849,Wednesday,Malicious Mischief,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,33,0,1,4,11
1850,Thursday,Fire Report,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,58,0,1,4,-1
1851,Thursday,Motor Vehicle Theft,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,45,0,1,4,-1
1852,Wednesday,Malicious Mischief,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,65,0,1,5,-1
1853,Wednesday,Burglary,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,33,0,1,3,-1
1854,Saturday,Other Miscellaneous,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,41,0,1,2,-1
1855,Tuesday,Burglary,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,68,0,1,3,9
1856,Saturday,Missing Person,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,40,0,1,2,-1
1857,Sunday,Non-Criminal,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,39,0,1,3,-1
1858,Monday,Malicious Mischief,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,81,0,1,4,-1
1859,Monday,Non-Criminal,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,45,0,1,2,-1
1860,Thursday,Larceny Theft,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,22,0,1,2,11
1861,Tuesday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,42,0,1,3,12
1862,Monday,Larceny Theft,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,76,0,1,6,-1
1863,Friday,Assault,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,32,0,1,1,10
1864,Monday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,76,0,1,6,-1
1865,Thursday,Burglary,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,26,0,1,1,-1
1866,Monday,Non-Criminal,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,66,0,1,6,10
1867,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,32,0,1,1,-1
1868,Friday,Malicious Mischief,CLINTON PARK \ GUERRERO ST,37.76914818,-122.424475,73,0,1,8,10
1869,Tuesday,Other Miscellaneous,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,36,0,1,5,12
1870,Sunday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,47,0,1,2,11
1871,Wednesday,Offences Against The Family And Children,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,42,0,1,3,-1
1872,Wednesday,Warrant,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,45,0,1,4,-1
1873,Wednesday,Burglary,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,58,0,1,4,-1
1874,Saturday,,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,33,0,1,3,-1
1875,Thursday,Motor Vehicle Theft,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,65,0,1,5,-1
1876,Sunday,Larceny Theft,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,60,0,1,3,12
1877,Saturday,Burglary,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,33,0,1,4,-1
1878,Saturday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,45,0,1,2,-1
1879,Sunday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,89,0,1,12,9
1880,Friday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,76,0,1,6,-1
1881,Wednesday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,81,0,1,11,-1
1882,Tuesday,Recovered Vehicle,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,83,0,1,11,11
1883,Monday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,83,0,1,5,-1
1884,Sunday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,40,0,1,1,-1
1885,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,79,0,1,10,9
1886,Sunday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,36,0,1,1,-1
1887,Thursday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,78,0,1,4,-1
1888,Friday,Assault,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,89,0,1,6,12
1889,Wednesday,Non-Criminal,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,38,0,1,1,-1
1890,Saturday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,83,0,1,12,9
1891,Friday,Malicious Mischief,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,86,0,1,8,-1
1892,Wednesday,Non-Criminal,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,94,0,1,9,11
1893,Monday,Assault,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,93,0,1,16,-1
1894,Thursday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,92,0,1,7,-1
1895,Wednesday,Larceny Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,85,0,1,20,-1
1896,Saturday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,90,0,1,8,-1
1897,Friday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,94,0,1,12,-1
1898,Thursday,Motor Vehicle Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,83,0,1,6,-1
1899,Thursday,Motor Vehicle Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,87,0,1,12,11
1900,Tuesday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,92,0,1,10,9
1901,Wednesday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,82,0,1,4,-1
1902,Friday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,82,0,1,4,-1
1903,Saturday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,81,0,1,4,-1
1904,Tuesday,Burglary,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,86,0,1,6,-1
1905,Friday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,46,0,1,4,-1
1906,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,78,0,1,3,11
1907,Thursday,Motor Vehicle Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,83,0,1,5,-1
1908,Thursday,Recovered Vehicle,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,40,0,1,1,15
1909,Tuesday,Larceny Theft,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,78,0,1,6,11
1910,Wednesday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,83,0,1,9,-1
1911,Sunday,Recovered Vehicle,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,45,0,1,4,-1
1912,Saturday,Traffic Violation Arrest,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,58,0,1,4,-1
1913,Tuesday,Other Miscellaneous,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,33,0,1,3,15
1914,Saturday,Malicious Mischief,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,65,0,1,5,-1
1915,Friday,Burglary,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,60,0,1,3,-1
1916,Tuesday,Offences Against The Family And Children,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,33,0,1,4,-1
1917,Sunday,Larceny Theft,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,45,0,1,2,-1
1918,Saturday,Other Miscellaneous,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,45,0,1,4,9
1919,Monday,Other Miscellaneous,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,58,0,1,4,-1
1920,Thursday,Larceny Theft,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,33,0,1,3,-1
1921,Friday,Burglary,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,65,0,1,5,-1
1922,Wednesday,Drug Offense,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,60,0,1,3,11
1923,Thursday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,33,0,1,4,-1
1924,Thursday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,45,0,1,2,-1
1925,Monday,Other Miscellaneous,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,59,0,1,18,-1
1926,Saturday,Traffic Collision,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,41,0,1,4,-1
1927,Sunday,Lost Property,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,42,0,1,5,13
1928,Thursday,Warrant,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,67,0,1,9,-1
1929,Thursday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,27,0,1,1,8
1930,Wednesday,Stolen Property,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,70,0,1,14,12
1931,Wednesday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,,0,1,0,-1
1932,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,36,0,1,6,-1
1933,Wednesday,Fraud,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,61,0,1,4,15
1934,Monday,Fraud,ELIZABETH ST \ GUERRERO ST,37.75277762,-122.4229096,36,0,1,12,12
1935,Wednesday,Assault,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,78,0,1,4,-1
1936,Tuesday,Recovered Vehicle,23RD ST \ GUERRERO ST,37.75356918,-122.4230285,29,0,1,3,-1
1937,Tuesday,Other,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,87,0,1,7,-1
1938,Monday,Assault,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,56,0,1,5,9
1939,Friday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,81,0,1,4,-1
1940,Tuesday,Robbery,25TH ST \ GUERRERO ST,37.75037224,-122.4227256,39,0,1,3,11
1941,Friday,Recovered Vehicle,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,46,0,1,4,-1
1942,Sunday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,78,0,1,3,-1
1943,Saturday,Motor Vehicle Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,89,0,1,12,-1
1944,Wednesday,Fraud,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,76,0,1,6,14
1945,Monday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,81,0,1,11,-1
1946,Thursday,Drug Offense,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,83,0,1,11,-1
1947,Saturday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,83,0,1,5,-1
1948,Thursday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,40,0,1,1,-1
1949,Tuesday,Recovered Vehicle,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,79,0,1,10,-1
1950,Thursday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,36,0,1,1,-1
1951,Tuesday,Other Miscellaneous,24TH ST \ GUERRERO ST,37.75197162,-122.4228788,78,0,1,4,10
1952,Sunday,Assault,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,89,0,1,6,-1
1953,Wednesday,Other,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,38,0,1,1,-1
1954,Tuesday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,83,0,1,12,-1
1955,Sunday,Motor Vehicle Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,86,0,1,8,-1
1956,Saturday,Assault,27TH ST \ GUERRERO ST,37.74717191,-122.4223835,94,0,1,9,11
1957,Saturday,Robbery,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,93,0,1,16,-1
1958,Saturday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,92,0,1,7,-1
1959,Monday,Recovered Vehicle,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,40,0,1,2,-1
1960,Thursday,Larceny Theft,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,39,0,1,3,-1
1961,Sunday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,81,0,1,4,8
1962,Wednesday,Fraud,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,22,0,1,2,-1
1963,Thursday,Suspicious Occ,LIBERTY ST \ GUERRERO ST,37.75757006,-122.4233673,76,0,1,6,-1
1964,Tuesday,Non-Criminal,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,32,0,1,1,-1
1965,Sunday,Missing Person,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,42,0,1,3,9
1966,Tuesday,Other,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,26,0,1,1,8
1967,Sunday,Malicious Mischief,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,76,0,1,6,-1
1968,Friday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,41,0,1,2,-1
1969,Thursday,Suspicious Occ,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,68,0,1,3,9
1970,Thursday,Larceny Theft,CLINTON PARK \ GUERRERO ST,37.76914818,-122.424475,33,0,1,4,10
1971,Tuesday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,60,0,1,3,11
1972,Wednesday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,58,0,1,4,-1
1973,Saturday,Recovered Vehicle,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,71,0,1,3,-1
1974,Tuesday,Larceny Theft,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,32,0,1,1,-1
1975,Sunday,Motor Vehicle Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,54,0,1,1,-1
1976,Tuesday,Recovered Vehicle,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,43,0,1,1,-1
1977,Monday,Larceny Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,,inf,0,0,10
1978,Saturday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,33,0,1,3,-1
1979,Tuesday,Other Miscellaneous,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,47,0,1,2,-1
1980,Tuesday,Burglary,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.74557881,-122.4222183,42,0,1,3,-1
1981,Thursday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,73,0,1,8,-1
1982,Tuesday,Larceny Theft,26TH ST \ GUERRERO ST,37.7487729,-122.4225711,40,0,1,2,-1
1983,Thursday,Other Offenses,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,39,0,1,3,9
1984,Saturday,Missing Person,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,81,0,1,4,-1
1985,Wednesday,Non-Criminal,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,22,0,1,2,-1
1986,Saturday,Fraud,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,76,0,1,6,11
1987,Saturday,Traffic Violation Arrest,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,32,0,1,1,9
1988,Monday,Arson,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,42,0,1,3,-1
1989,Saturday,Assault,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,26,0,1,1,-1
1990,Friday,Burglary,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,76,0,1,6,-1
1991,Tuesday,Miscellaneous Investigation,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,41,0,1,2,-1
1992,Sunday,Other Miscellaneous,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,68,0,1,3,-1
1993,Thursday,Larceny Theft,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,33,0,1,4,-1
1994,Tuesday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,60,0,1,3,-1
1995,Friday,Recovered Vehicle,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,58,0,1,4,9
1996,Sunday,Assault,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,71,0,1,3,9
1997,Saturday,Miscellaneous Investigation,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,32,0,1,1,-1
1998,Wednesday,Malicious Mischief,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,54,0,1,1,-1
1999,Thursday,Robbery,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.77074774,-122.4248526,43,0,1,1,-1
2000,Sunday,Malicious Mischief,GUERRERO ST \ DUNCAN ST,37.74637652,-122.4223107,,inf,0,0,12
2001,Sunday,Motor Vehicle Theft,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,33,0,1,3,11
2002,Saturday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.75916423,-122.4236129,47,0,1,2,12
2003,Tuesday,Assault,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,42,0,1,3,9
2004,Tuesday,Larceny Theft,22ND ST \ GUERRERO ST,37.75516979,-122.423181,73,0,1,8,12
2005,Sunday,Burglary,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,45,0,1,4,-1
2006,Thursday,Other Miscellaneous,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,58,0,1,4,-1
2007,Tuesday,Other Miscellaneous,18TH ST \ GUERRERO ST,37.76156567,-122.4238007,33,0,1,3,11
2008,Monday,Burglary,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,65,0,1,5,-1
2009,Tuesday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,60,0,1,3,-1
2010,Thursday,Larceny Theft,19TH ST \ GUERRERO ST,37.75996738,-122.4236413,33,0,1,4,-1
2011,Saturday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,45,0,1,2,-1
2012,Thursday,Motor Vehicle Theft,CLINTON PARK \ GUERRERO ST,37.76914818,-122.424475,59,0,1,18,9
2013,Thursday,Larceny Theft,17TH ST \ GUERRERO ST,37.76316782,-122.4239592,41,0,1,4,11
2014,Friday,Larceny Theft,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,42,0,1,5,9
2015,Tuesday,Other Miscellaneous,HILL ST \ GUERRERO ST,37.75597097,-122.4232145,67,0,1,9,-1
2016,Friday,Warrant,CLINTON PARK \ GUERRERO ST,37.76914818,-122.424475,27,0,1,1,9
2017,Wednesday,Larceny Theft,GUERRERO ST \ DUBOCE AVE,37.7697347,-122.4245811,70,0,1,14,9
2018,Sunday,Traffic Violation Arrest,GUERRERO ST \ 14TH ST,37.76800642,-122.4244117,,0,1,0,-1
2019,Friday,Traffic Violation Arrest,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,36,0,1,6,-1
2020,Saturday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,61,0,1,4,-1
2021,Friday,Other Miscellaneous,20TH ST \ GUERRERO ST,37.75836455,-122.4234885,36,0,1,12,-1
2022,Sunday,Larceny Theft,GUERRERO ST \ CAMP ST,37.763966,-122.4239816,78,0,1,4,-1
2023,Saturday,Motor Vehicle Theft,GUERRERO ST \ ALVARADO ST,37.7543752,-122.4230621,29,0,1,3,12
2024,Friday,Burglary,LIBERTY ST \ GUERRERO ST,37.75756491,-122.4234525,87,0,1,7,12
2025,Sunday,Larceny Theft,15TH ST \ GUERRERO ST,37.76640577,-122.4242581,56,0,1,5,9
2026,Saturday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,81,0,1,4,-1
2027,Wednesday,Burglary,GUERRERO ST \ CESAR CHAVEZ ST,37.74801345,-122.4224874,39,0,1,3,-1
2028,Thursday,Missing Person,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,46,0,1,4,-1
2029,Sunday,Suspicious Occ,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,78,0,1,3,-1
2030,Sunday,Assault,16TH ST \ GUERRERO ST,37.76478345,-122.4241027,81,0,1,11,-1
2031,Tuesday,Larceny Theft,21ST ST \ GUERRERO ST,37.75676878,-122.4233306,83,0,1,11,-1
2032,Sunday,Larceny Theft,GUERRERO ST \ DORLAND ST,37.76234101,-122.4239266,76,0,1,6,-1
2033,Wednesday,Larceny Theft,GUERRERO ST \ BROSNAN ST,37.76862931,-122.4244242,89,0,1,12,9
