,probability,rate,overnight,openSpaces
621,36.0,0.0,1,6
622,61.0,0.0,1,4
623,36.0,0.0,1,12
624,78.0,0.0,1,4
625,29.0,0.0,1,3
626,87.0,0.0,1,7
627,56.0,0.0,1,5
628,82.0,0.0,1,4
629,39.0,0.0,1,3
630,46.0,0.0,1,4
631,78.0,0.0,1,3
632,81.0,0.0,1,11
633,83.0,0.0,1,11
634,76.0,0.0,1,6
635,89.0,0.0,1,12
636,86.0,0.0,1,8
637,38.0,0.0,1,1
638,92.0,0.0,1,7
639,93.0,0.0,1,16
640,94.0,0.0,1,9
641,,inf,0,0
642,85.0,0.0,1,16
643,,inf,0,0
644,50.0,0.0,1,1
645,89.0,0.0,1,12
646,83.0,0.0,1,5
647,43.0,0.0,1,1
648,71.0,0.0,1,6
649,89.0,0.0,1,21
650,59.0,0.0,1,18
651,41.0,0.0,1,4
652,42.0,0.0,1,5
653,67.0,0.0,1,9
654,27.0,0.0,1,1
655,70.0,0.0,1,14
656,,0.0,1,0
657,36.0,0.0,1,6
658,61.0,0.0,1,4
659,36.0,0.0,1,12
660,78.0,0.0,1,4
661,29.0,0.0,1,3
662,87.0,0.0,1,7
663,56.0,0.0,1,5
664,82.0,0.0,1,4
665,39.0,0.0,1,3
666,46.0,0.0,1,4
667,78.0,0.0,1,3
668,81.0,0.0,1,11
669,83.0,0.0,1,11
670,76.0,0.0,1,6
671,89.0,0.0,1,12
672,86.0,0.0,1,8
673,38.0,0.0,1,1
674,92.0,0.0,1,7
675,93.0,0.0,1,16
676,94.0,0.0,1,9
677,,inf,0,0
678,85.0,0.0,1,16
679,,inf,0,0
680,50.0,0.0,1,1
681,89.0,0.0,1,12
682,83.0,0.0,1,5
683,43.0,0.0,1,1
684,71.0,0.0,1,6
685,89.0,0.0,1,21
686,85.0,0.0,1,20
687,90.0,0.0,1,8
688,94.0,0.0,1,12
689,83.0,0.0,1,6
690,87.0,0.0,1,12
691,92.0,0.0,1,10
692,82.0,0.0,1,4
693,83.0,0.0,1,4
694,81.0,0.0,1,4
695,86.0,0.0,1,6
696,46.0,0.0,1,4
697,78.0,0.0,1,3
698,83.0,0.0,1,5
699,43.0,0.0,1,1
700,78.0,0.0,1,6
701,83.0,0.0,1,9
702,40.0,0.0,1,2
703,39.0,0.0,1,3
704,82.0,0.0,1,4
705,22.0,0.0,1,2
706,76.0,0.0,1,6
707,32.0,0.0,1,1
708,42.0,0.0,1,3
709,26.0,0.0,1,1
710,78.0,0.0,1,6
711,41.0,0.0,1,2
712,68.0,0.0,1,3
713,33.0,0.0,1,4
714,60.0,0.0,1,3
715,58.0,0.0,1,4
716,71.0,0.0,1,3
717,36.0,0.0,1,1
718,54.0,0.0,1,1
719,43.0,0.0,1,1
720,,inf,0,0
721,33.0,0.0,1,3
722,47.0,0.0,1,2
723,42.0,0.0,1,3
724,73.0,0.0,1,8
725,40.0,0.0,1,2
726,39.0,0.0,1,3
727,82.0,0.0,1,4
728,22.0,0.0,1,2
729,76.0,0.0,1,6
730,32.0,0.0,1,1
731,42.0,0.0,1,3
732,26.0,0.0,1,1
733,78.0,0.0,1,6
734,41.0,0.0,1,2
735,68.0,0.0,1,3
736,33.0,0.0,1,4
737,60.0,0.0,1,3
738,58.0,0.0,1,4
739,71.0,0.0,1,3
740,36.0,0.0,1,1
741,54.0,0.0,1,1
742,43.0,0.0,1,1
743,,inf,0,0
744,33.0,0.0,1,3
745,47.0,0.0,1,2
746,42.0,0.0,1,3
747,73.0,0.0,1,8
748,45.0,0.0,1,4
749,58.0,0.0,1,4
750,33.0,0.0,1,4
751,60.0,0.0,1,3
752,65.0,0.0,1,5
753,34.0,0.0,1,3
754,41.0,0.0,1,2
755,68.0,0.0,1,3
756,45.0,0.0,1,2
757,67.0,0.0,1,6
758,32.0,0.0,1,1
759,36.0,0.0,1,5
760,59.0,0.0,1,18
761,41.0,0.0,1,4
762,42.0,0.0,1,5
763,67.0,0.0,1,9
764,27.0,0.0,1,1
765,70.0,0.0,1,14
766,,0.0,1,0
767,36.0,0.0,1,6
768,61.0,0.0,1,4
769,36.0,0.0,1,12
770,78.0,0.0,1,4
771,29.0,0.0,1,3
772,87.0,0.0,1,7
773,56.0,0.0,1,5
774,82.0,0.0,1,4
775,39.0,0.0,1,3
776,46.0,0.0,1,4
777,78.0,0.0,1,3
778,46.0,0.0,1,4
779,78.0,0.0,1,3
780,52.0,0.0,1,6
781,85.0,0.0,1,12
782,63.0,0.0,1,12
783,81.0,0.0,1,6
784,80.0,0.0,1,5
785,56.0,0.0,1,4
786,8.0,0.0,1,1
787,56.0,0.0,1,4
788,85.0,0.0,1,4
789,85.0,0.0,1,5
790,30.0,0.0,1,5
791,59.0,0.0,1,18
792,41.0,0.0,1,4
793,85.0,0.0,1,20
794,90.0,0.0,1,8
